City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-11-18 04:24:41,-46.1927,168.8643,60.94,49,44,8.21
1,Kuching,MY,2021-11-18 04:24:41,1.55,110.3333,89.82,62,40,3.44
2,Hobart,AU,2021-11-18 04:21:55,-42.8794,147.3294,56.12,86,75,4.61
3,Manyana,BW,2021-11-18 04:24:42,-23.4,21.7167,64.87,37,12,14.23
4,Qaanaaq,GL,2021-11-18 04:24:42,77.484,-69.3632,-3.21,68,0,5.95
5,Hermanus,ZA,2021-11-18 04:24:42,-34.4187,19.2345,56.89,63,90,7.09
6,Khandyga,RU,2021-11-18 04:24:43,62.6667,135.6,-7.65,90,100,2.15
7,Yellowknife,CA,2021-11-18 04:22:07,62.456,-114.3525,20.41,100,90,13.8
8,Tiksi,RU,2021-11-18 04:24:43,71.6872,128.8694,-2.61,94,100,2.64
9,Hithadhoo,MV,2021-11-18 04:24:43,-0.6,73.0833,82.67,75,27,17.38
10,Bafq,IR,2021-11-18 04:24:44,31.6128,55.4107,42.84,41,1,0.58
11,Bandarbeyla,SO,2021-11-18 04:24:44,9.4942,50.8122,76.64,68,97,10.36
12,Linqu,CN,2021-11-18 04:24:44,36.5156,118.5397,68.32,40,0,14.45
13,Busselton,AU,2021-11-18 04:23:57,-33.65,115.3333,64.09,61,100,14.23
14,Cidreira,BR,2021-11-18 04:24:45,-30.1811,-50.2056,63.77,74,100,6.58
15,Leningradskiy,RU,2021-11-18 04:24:45,69.3833,178.4167,-2.79,87,13,9.06
16,Albany,US,2021-11-18 04:22:09,42.6001,-73.9662,52.66,81,96,6.98
17,Castro,BR,2021-11-18 04:24:46,-24.7911,-50.0119,64.8,86,100,1.39
18,Vysokogornyy,RU,2021-11-18 04:24:46,50.1167,139.15,29.59,68,100,3.0
19,Bredasdorp,ZA,2021-11-18 04:24:46,-34.5322,20.0403,49.28,63,97,4.32
20,Kodiak,US,2021-11-18 04:24:47,57.79,-152.4072,18.91,63,90,8.05
21,Bad Munstereifel,DE,2021-11-18 04:24:47,50.55,6.7667,40.41,94,100,5.14
22,Kudahuvadhoo,MV,2021-11-18 04:24:47,2.6708,72.8944,83.14,76,100,17.18
23,New Norfolk,AU,2021-11-18 04:24:48,-42.7826,147.0587,55.76,67,100,1.25
24,Avarua,CK,2021-11-18 04:24:48,-21.2078,-159.775,78.85,83,20,10.36
25,Punta Arenas,CL,2021-11-18 04:21:01,-53.15,-70.9167,41.11,70,40,19.57
26,Okhotsk,RU,2021-11-18 04:24:49,59.3833,143.3,20.44,81,98,13.58
27,Te Anau,NZ,2021-11-18 04:24:49,-45.4167,167.7167,60.51,46,28,7.54
28,Luderitz,NA,2021-11-18 04:24:49,-26.6481,15.1594,57.6,73,0,17.09
29,Sumisip,PH,2021-11-18 04:24:50,6.4197,121.9714,89.51,70,100,4.97
30,Ribeira Grande,PT,2021-11-18 04:24:50,38.5167,-28.7,66.99,78,33,18.81
31,Victoria,HK,2021-11-18 04:22:02,22.2855,114.1577,80.22,68,5,11.01
32,Shubarshi,KZ,2021-11-18 04:24:50,48.5872,57.1869,23.59,96,94,6.69
33,Dikson,RU,2021-11-18 04:24:51,73.5069,80.5464,-14.75,96,72,2.86
34,Vila Velha,BR,2021-11-18 04:24:51,-20.3297,-40.2925,73.35,94,75,5.01
35,Inirida,CO,2021-11-18 04:24:51,3.8653,-67.9239,75.97,81,100,1.61
36,Bengkulu,ID,2021-11-18 04:22:11,-3.8004,102.2655,83.46,69,85,4.85
37,Sola,VU,2021-11-18 04:24:52,-13.8833,167.55,82.04,71,26,10.92
38,Richards Bay,ZA,2021-11-18 04:24:52,-28.783,32.0377,74.12,87,80,14.0
39,Souillac,MU,2021-11-18 04:24:53,-20.5167,57.5167,81.36,69,75,14.97
40,Rikitea,PF,2021-11-18 04:24:53,-23.1203,-134.9692,73.38,67,0,15.23
41,Bajil,YE,2021-11-18 04:24:53,15.0584,43.2851,79.03,71,3,1.79
42,Saskylakh,RU,2021-11-18 04:24:54,71.9167,114.0833,-13.18,98,99,4.79
43,Thinadhoo,MV,2021-11-18 04:24:54,0.5333,72.9333,82.58,76,39,17.09
