City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Peto,MX,20.1333,-88.9167,71.17,100,100,1.48,overcast clouds
1,Albany,US,42.6001,-73.9662,32.07,85,3,3.76,clear sky
2,Dikson,RU,73.5069,80.5464,-8.93,95,95,6.02,overcast clouds
3,Hobart,AU,-42.8794,147.3294,59.11,76,75,1.01,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,67.89,73,95,17.67,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,73.42,67,100,10.38,overcast clouds
6,Bluff,NZ,-46.6,168.3333,51.82,82,100,3.06,overcast clouds
7,Avarua,CK,-21.2078,-159.775,77.05,78,20,6.91,few clouds
8,Hervey Bay,AU,-25.2986,152.8535,82.04,60,0,10.69,clear sky
9,Cidreira,BR,-30.1811,-50.2056,61.0,76,0,6.49,clear sky
10,Ushuaia,AR,-54.8,-68.3,38.86,81,40,17.27,light intensity drizzle
11,Qui Nhon,VN,13.7667,109.2333,81.25,75,23,8.41,few clouds
12,Ermoupolis,GR,37.4423,24.9425,58.89,62,75,26.46,broken clouds
13,Kruisfontein,ZA,-34.0033,24.7314,62.89,57,26,4.63,scattered clouds
14,Alta Floresta,BR,-9.8756,-56.0861,70.12,99,100,2.82,overcast clouds
15,Camacari,BR,-12.6975,-38.3242,78.57,94,16,3.89,few clouds
16,Thompson,CA,55.7435,-97.8558,19.56,93,90,6.91,light snow
17,Mar Del Plata,AR,-38.0023,-57.5575,57.87,93,90,7.0,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,68.5,80,75,9.28,broken clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,20,6.91,few clouds
20,Oga,IT,46.4631,10.347,36.28,59,10,1.59,clear sky
21,Bambous Virieux,MU,-20.3428,57.7575,82.65,61,75,16.11,broken clouds
22,Fort Nelson,CA,58.8053,-122.7002,-8.01,84,40,0.0,scattered clouds
23,Busselton,AU,-33.65,115.3333,79.09,40,19,9.04,few clouds
24,Camacha,PT,33.0833,-16.3333,60.22,72,20,8.05,few clouds
25,Port Elizabeth,ZA,-33.918,25.5701,65.1,88,75,3.44,light rain
26,Toktogul,KG,41.8708,72.9402,52.57,53,0,1.52,clear sky
27,Raga,SS,8.4596,25.678,84.7,20,6,9.42,clear sky
28,Tessalit,ML,20.1986,1.0114,71.01,18,100,9.42,overcast clouds
29,Liloy,PH,8.1144,122.6594,83.19,78,100,2.95,heavy intensity rain
30,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,43.73,scattered clouds
31,Cape Town,ZA,-33.9258,18.4232,71.1,50,20,5.75,few clouds
32,Constitucion,CL,-35.3333,-72.4167,51.85,91,76,2.01,broken clouds
33,Kununurra,AU,-15.7667,128.7333,102.18,32,100,6.91,overcast clouds
34,Upernavik,GL,72.7868,-56.1549,4.42,63,100,9.33,overcast clouds
35,Didi Lilo,GE,41.7361,44.9647,47.98,62,0,14.97,clear sky
36,Tasiilaq,GL,65.6145,-37.6368,26.76,76,100,4.07,overcast clouds
37,Lilongwe,MW,-13.9669,33.7873,82.6,44,0,5.75,clear sky
38,Narsaq,GL,60.9167,-46.05,35.82,97,100,17.74,heavy intensity rain
39,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,65,0,8.01,clear sky
40,Atuona,PF,-9.8,-139.0333,78.17,73,15,15.73,few clouds
41,Geraldton,AU,-28.7667,114.6,86.41,30,0,19.57,clear sky
42,Saskylakh,RU,71.9167,114.0833,-19.53,98,100,7.43,overcast clouds
43,Vila,PT,42.0304,-8.1588,42.69,78,29,4.61,scattered clouds
44,Ostrovnoy,RU,68.0531,39.5131,30.36,94,100,13.56,light snow
45,Colares,PT,38.7992,-9.4469,58.33,68,52,8.01,broken clouds
46,Coquimbo,CL,-29.9533,-71.3436,55.13,94,90,4.61,overcast clouds
47,Viedma,AR,-40.8135,-62.9967,65.28,43,4,15.1,clear sky
48,Longyearbyen,SJ,78.2186,15.6401,12.04,48,20,14.97,few clouds
49,Yellowknife,CA,62.456,-114.3525,0.12,78,90,5.75,light snow
